inst#,actual,predicted,error
1,0.903,0.491,-0.412
2,0.62,0.504,-0.115
3,0.63,0.473,-0.157
4,0.672,0.573,-0.099
5,0.654,0.761,0.107
6,0.483,0.475,-0.008
7,0.636,0.473,-0.163
8,0.591,0.483,-0.108
9,0.265,0.319,0.053
10,0.265,0.33,0.065
11,0.612,0.514,-0.098
12,0.654,0.466,-0.188
13,0.618,0.505,-0.113
14,0.175,0.437,0.261
15,0.615,0.638,0.024
16,0.148,0.487,0.338
17,0.597,0.499,-0.099
18,0.742,0.596,-0.146
19,0.605,0.474,-0.131
20,0.076,0.415,0.339
21,0.654,0.629,-0.025
22,0.541,0.57,0.029
23,0.169,0.621,0.452
24,0.609,0.527,-0.082
25,0.63,0.65,0.02
26,0.073,0.133,0.06
27,0.654,0.729,0.074
28,0.621,0.47,-0.151
29,0.357,0.5,0.143
30,0.108,0.273,0.165
31,0.78,0.555,-0.225
32,0.804,0.899,0.094
33,0.621,0.502,-0.119
34,0.729,0.541,-0.188
35,0.507,0.329,-0.178
36,0.2,0.466,0.266
37,0.293,0.379,0.086
38,0.212,0.483,0.271
39,0.92,0.598,-0.323
40,0.087,0.495,0.408
41,0.609,0.285,-0.324
42,0.964,0.604,-0.36
43,0.78,0.642,-0.138
44,0.919,0.839,-0.08
45,0.136,0.253,0.116
46,0.215,0.217,0.003
47,0.92,0.598,-0.323
48,0.509,0.536,0.027
49,0.611,0.432,-0.179
50,0.344,0.425,0.081
51,0.615,0.507,-0.108
52,0.308,0.474,0.166
53,0.621,0.546,-0.074
54,0.127,0.087,-0.041
55,0.621,0.473,-0.148
56,0.627,0.586,-0.04
57,0.654,0.638,-0.016
58,0.54,0.513,-0.026
59,0.624,0.478,-0.146
60,0.154,0.448,0.293
61,0.308,0.181,-0.127
62,0.618,0.473,-0.145
63,0.176,0.491,0.315
64,0.293,0.429,0.136
65,0.377,0.37,-0.007
66,0.847,0.57,-0.276
67,0.087,0.484,0.397
68,0.813,0.467,-0.346
69,0.571,0.237,-0.334
70,0.723,0.468,-0.256
71,0.112,0.473,0.361
72,0.618,0.473,-0.145
73,0.603,0.559,-0.044
74,0.176,0.513,0.337
75,0.281,0.214,-0.067
76,0.546,0.597,0.052
77,0.014,0.451,0.437
78,0.281,0.294,0.013
79,0.122,0.314,0.192
80,0.293,0.373,0.08
81,0.75,0.43,-0.321
82,0.967,0.557,-0.41
83,0.804,0.49,-0.315
84,0.157,0.102,-0.055
85,0.178,0.493,0.315
86,0.597,0.499,-0.098
87,0.597,0.512,-0.085
88,0.617,0.627,0.011
89,0.826,0.472,-0.354
90,0.581,0.508,-0.073
91,0.464,0.489,0.024
92,0.182,0.389,0.207
93,0.63,0.65,0.02
94,0.148,0.46,0.312
95,0.518,0.489,-0.03
96,0.654,0.486,-0.169
97,0.464,0.466,0.001
98,0.596,0.475,-0.12
99,0.124,0.167,0.043
100,0.152,0.093,-0.059
101,0.627,0.405,-0.222
102,0.877,0.502,-0.375
103,0.549,0.505,-0.044
104,0.594,0.516,-0.078
105,0.615,0.541,-0.074
106,0.819,0.71,-0.109
